#CNTAS Song Wed Oct 22 14:59:29 2014 
#USER: Song 
#DATE: Wed Oct 22 14:59:29 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=monok, amplitude=2, step=0.2, time=5)
#STEPS: monok = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   5.16 B=   5.16 C=   5.16
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   22.30       monho=   44.97          om=  300.00 
#ANGLES:        s2th=  -79.25         ath=    0.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=   -0.00       mvfoc= 1050.00 
#ANGLES:        mtrX=    0.00        mtrY=   -0.99         mgU=    0.10 
#ANGLES:         mgL=    0.41         s1X=   30.00         s1Y=   30.00 
#ANGLES:         s1L=  142.68         s1U=  142.72         s2X=    8.83 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=   -0.00        strY=    0.00       antrX=   -0.00 
#ANGLES:       antrY=   12.00        angL=    0.00        angU=    0.01 
#ANGLES:      msdist= 2900.00      sadist=  926.64     detdist=  641.47 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.32       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.38 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#    monok        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     20.30         24         14      923.0        5.0     112704      0.015      0.004
     20.50         44         20     1135.0        5.0     112705      0.018      0.004
     20.70         43         19     1422.0        5.0     112706      0.013      0.003
     20.90         69         31     2020.0        5.0     112707      0.015      0.003
     21.10         89         42     3331.0        5.0     112708      0.013      0.002
     21.30        162         83     5804.0        5.0     112709      0.014      0.002
     21.50        269        131    10680.0        5.0     112710      0.012      0.001
     21.70        506        265    18929.0        5.0     112711      0.014      0.001
     21.90       1110        554    30151.0        5.0     112712      0.018      0.001
     22.10       1852        949    39408.0        5.0     112713      0.024      0.001
     22.30       2302       1220    43076.0        5.0     112714      0.028      0.001
     22.50       1924       1011    38873.0        5.0     112715      0.026      0.001
     22.70       1254        669    29340.0        5.0     112716      0.023      0.001
     22.90        563        275    18420.0        5.0     112717      0.015      0.001
     23.10        304        142    10321.0        5.0     112718      0.014      0.001
     23.30        178         80     5781.0        5.0     112719      0.014      0.002
     23.50        117         62     3582.0        5.0     112720      0.017      0.002
     23.70         84         49     2244.0        5.0     112721      0.022      0.003
     23.90         75         39     1599.0        5.0     112722      0.024      0.004
     24.10         50         30     1136.0        5.0     112723      0.026      0.005
     24.30         32         10      935.0        5.0     112724      0.011      0.003
