#CNTAS Song Wed Oct 22 22:32:58 2014 
#USER: Song 
#DATE: Wed Oct 22 22:32:58 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-15, step=0.1, end=-118, time=15)
#STEPS: s2th = 0.1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   5.16 B=   5.16 C=   5.16
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   22.31       monho=   45.00          om=  300.00 
#ANGLES:        s2th=  -14.80         ath=    0.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=   -0.00       mvfoc=  549.00 
#ANGLES:        mtrX=    0.00        mtrY=   -0.99         mgU=    0.10 
#ANGLES:         mgL=    0.44         s1X=   30.00         s1Y=   30.00 
#ANGLES:         s1L=  142.68         s1U=  142.72         s2X=    8.83 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=   -0.00        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=   12.00        angL=    0.00        angU=    0.01 
#ANGLES:      msdist= 2200.00      sadist=  926.62     detdist=  641.47 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.32       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.38 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -15.00        415        339   114533.0       15.0     113773      0.003      0.000
    -15.10        442        363   114959.0       15.0     113774      0.003      0.000
    -15.20        378        304   115393.0       15.0     113775      0.003      0.000
    -15.30        378        303   114707.0       15.0     113776      0.003      0.000
    -15.40        407        311   114949.0       15.0     113777      0.003      0.000
    -15.50        401        321   115050.0       15.0     113778      0.003      0.000
    -15.60        378        299   115268.0       15.0     113779      0.003      0.000
    -15.70        391        310   114951.0       15.0     113780      0.003      0.000
    -15.80        395        311   115176.0       15.0     113781      0.003      0.000
    -15.90        410        314   114966.0       15.0     113782      0.003      0.000
    -16.00        397        314   114717.0       15.0     113783      0.003      0.000
    -16.10        394        304   115041.0       15.0     113784      0.003      0.000
    -16.20        367        280   114659.0       15.0     113785      0.002      0.000
    -16.30        379        299   114512.0       15.0     113786      0.003      0.000
    -16.40        358        282   115525.0       15.0     113787      0.002      0.000
    -16.50        348        266   114259.0       15.0     113789      0.002      0.000
    -16.60        391        322   115890.0       15.0     113790      0.003      0.000
    -16.70        378        291   114914.0       15.0     113791      0.003      0.000
    -16.80        369        288   115512.0       15.0     113792      0.002      0.000
    -16.90        358        282   115799.0       15.0     113793      0.002      0.000
    -17.00        360        277   115680.0       15.0     113794      0.002      0.000
    -17.10        390        287   115307.0       15.0     113795      0.002      0.000
    -17.20        336        273   115308.0       15.0     113796      0.002      0.000
    -17.30        370        297   114432.0       15.0     113797      0.003      0.000
    -17.40        364        264   115585.0       15.0     113798      0.002      0.000
    -17.50        351        273   115595.0       15.0     113799      0.002      0.000
    -17.60        357        268   116146.0       15.0     113800      0.002      0.000
    -17.70        345        276   116714.0       15.0     113801      0.002      0.000
    -17.80        322        255   115272.0       15.0     113802      0.002      0.000
    -17.90        303        232   114987.0       15.0     113804      0.002      0.000
    -18.00        370        293   114613.0       15.0     113805      0.003      0.000
    -18.10        362        272   115659.0       15.0     113806      0.002      0.000
    -18.20        337        261   115812.0       15.0     113807      0.002      0.000
    -18.30        329        259   115217.0       15.0     113808      0.002      0.000
    -18.40        337        268   115076.0       15.0     113809      0.002      0.000
    -18.50        328        261   115052.0       15.0     113810      0.002      0.000
    -18.60        323        251   115660.0       15.0     113811      0.002      0.000
    -18.70        374        281   115347.0       15.0     113812      0.002      0.000
    -18.80        326        267   115514.0       15.0     113813      0.002      0.000
    -18.90        334        263   115965.0       15.0     113814      0.002      0.000
    -19.00        357        272   115112.0       15.0     113815      0.002      0.000
    -19.10        326        254   115508.0       15.0     113816      0.002      0.000
    -19.20        315        248   115388.0       15.0     113817      0.002      0.000
    -19.30        320        242   115306.0       15.0     113819      0.002      0.000
    -19.40        360        273   115215.0       15.0     113820      0.002      0.000
    -19.50        339        261   114280.0       15.0     113821      0.002      0.000
    -19.60        313        233   115235.0       15.0     113822      0.002      0.000
    -19.70        337        275   115209.0       15.0     113823      0.002      0.000
    -19.80        298        227   115433.0       15.0     113824      0.002      0.000
    -19.80        309        248   115667.0       15.0     113825      0.002      0.000
    -20.00        308        242   115154.0       15.0     113826      0.002      0.000
    -20.10        344        261   115647.0       15.0     113827      0.002      0.000
    -20.20        281        208   115461.0       15.0     113828      0.002      0.000
    -20.30        318        250   116634.0       15.0     113829      0.002      0.000
    -20.40        297        237   116186.0       15.0     113830      0.002      0.000
    -20.50        316        221   115483.0       15.0     113831      0.002      0.000
    -20.60        314        244   115557.0       15.0     113832      0.002      0.000
    -20.70        278        213   115078.0       15.0     113833      0.002      0.000
    -20.80        299        238   115084.0       15.0     113834      0.002      0.000
    -20.90        296        228   115089.0       15.0     113836      0.002      0.000
    -21.00        307        239   115149.0       15.0     113837      0.002      0.000
    -21.10        311        237   115408.0       15.0     113838      0.002      0.000
    -21.20        298        232   116436.0       15.0     113839      0.002      0.000
    -21.30        297        223   116132.0       15.0     113840      0.002      0.000
    -21.40        294        217   116067.0       15.0     113841      0.002      0.000
    -21.50        268        203   115259.0       15.0     113842      0.002      0.000
    -21.60        283        236   115013.0       15.0     113843      0.002      0.000
    -21.70        281        217   116924.0       15.0     113844      0.002      0.000
    -21.80        291        232   116623.0       15.0     113845      0.002      0.000
    -21.90        280        214   116237.0       15.0     113846      0.002      0.000
    -22.00        256        191   114750.0       15.0     113847      0.002      0.000
    -22.10        293        222   114875.0       15.0     113848      0.002      0.000
    -22.20        301        221   115327.0       15.0     113850      0.002      0.000
    -22.30        268        203   115508.0       15.0     113851      0.002      0.000
    -22.40        264        200   114935.0       15.0     113852      0.002      0.000
    -22.50        263        210   114829.0       15.0     113853      0.002      0.000
    -22.60        243        179   115181.0     15.007     113854      0.002      0.000
    -22.70        296        227   116034.0       15.0     113855      0.002      0.000
    -22.80        273        203   116610.0       15.0     113856      0.002      0.000
    -22.90        307        239   114470.0       15.0     113857      0.002      0.000
    -23.00        298        226   115429.0       15.0     113858      0.002      0.000
    -23.10        260        208   115553.0       15.0     113859      0.002      0.000
    -23.20        250        183   114857.0       15.0     113860      0.002      0.000
    -23.30        262        209   115559.0       15.0     113861      0.002      0.000
    -23.40        268        198   115566.0       15.0     113862      0.002      0.000
    -23.50        271        223   115552.0       15.0     113864      0.002      0.000
    -23.60        271        218   115433.0       15.0     113865      0.002      0.000
    -23.70        269        215   114657.0       15.0     113866      0.002      0.000
    -23.80        254        192   115679.0       15.0     113867      0.002      0.000
    -23.90        267        205   115601.0       15.0     113868      0.002      0.000
    -24.00        255        196   114315.0       15.0     113869      0.002      0.000
    -24.10        233        173   115004.0       15.0     113870      0.002      0.000
    -24.20        263        193   115698.0       15.0     113871      0.002      0.000
    -24.30        272        202   115217.0       15.0     113872      0.002      0.000
    -24.40        243        171   115716.0       15.0     113873      0.001      0.000
    -24.50        300        225   116180.0       15.0     113874      0.002      0.000
    -24.60        274        201   114532.0       15.0     113875      0.002      0.000
    -24.70        266        203   115419.0       15.0     113876      0.002      0.000
    -24.80        244        177   115180.0       15.0     113877      0.002      0.000
    -24.90        262        208   115291.0       15.0     113879      0.002      0.000
    -25.00        254        180   115236.0       15.0     113880      0.002      0.000
    -25.10        262        199   115885.0       15.0     113881      0.002      0.000
    -25.20        265        192   115536.0       15.0     113882      0.002      0.000
    -25.30        250        196   115970.0       15.0     113883      0.002      0.000
    -25.40        254        179   115948.0       15.0     113884      0.002      0.000
    -25.41        249        196   114626.0       15.0     113885      0.002      0.000
    -25.60        247        191   116286.0       15.0     113886      0.002      0.000
    -25.70        241        183   116213.0       15.0     113887      0.002      0.000
    -25.80        237        193   116047.0       15.0     113888      0.002      0.000
    -25.90        255        201   115924.0       15.0     113889      0.002      0.000
    -26.00        255        199   115309.0       15.0     113890      0.002      0.000
    -26.10        245        185   116026.0       15.0     113891      0.002      0.000
    -26.20        241        184   116501.0       15.0     113892      0.002      0.000
    -26.30        259        201   115528.0       15.0     113893      0.002      0.000
    -26.40        228        175   115896.0       15.0     113895      0.002      0.000
    -26.50        256        188   115221.0       15.0     113896      0.002      0.000
    -26.60        269        216   115393.0       15.0     113897      0.002      0.000
    -26.70        236        169   115153.0       15.0     113898      0.001      0.000
    -26.80        264        201   115364.0       15.0     113899      0.002      0.000
    -26.90        247        185   115119.0       15.0     113900      0.002      0.000
    -27.00        215        161   116023.0       15.0     113901      0.001      0.000
    -27.10        232        174   115563.0       15.0     113902      0.002      0.000
    -27.20        263        200   115178.0       15.0     113903      0.002      0.000
    -27.30        265        206   115425.0       15.0     113904      0.002      0.000
    -27.40        222        151   116112.0       15.0     113905      0.001      0.000
    -27.50        243        176   116107.0       15.0     113906      0.002      0.000
    -27.60        235        172   116010.0       15.0     113908      0.001      0.000
    -27.70        207        149   115577.0       15.0     113909      0.001      0.000
    -27.80        253        191   115270.0       15.0     113910      0.002      0.000
    -27.90        210        170   116322.0       15.0     113911      0.001      0.000
    -28.00        224        165   116105.0       15.0     113912      0.001      0.000
    -28.10        242        186   115508.0       15.0     113913      0.002      0.000
    -28.20        208        156   115918.0       15.0     113914      0.001      0.000
    -28.30        212        145   115073.0       15.0     113915      0.001      0.000
    -28.40        237        180   115571.0       15.0     113916      0.002      0.000
    -28.50        232        187   115430.0       15.0     113917      0.002      0.000
    -28.60        230        170   115480.0       15.0     113918      0.001      0.000
    -28.70        246        178   115719.0       15.0     113919      0.002      0.000
    -28.80        217        167   115119.0       15.0     113920      0.001      0.000
    -28.90        209        157   115816.0       15.0     113921      0.001      0.000
    -29.00        227        176   115318.0       15.0     113923      0.002      0.000
    -29.10        221        173   115781.0       15.0     113924      0.001      0.000
