#CNTAS Song Thu Oct 23 14:58:08 2014 
#USER: Song 
#DATE: Thu Oct 23 14:58:08 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=ath, start=20, step=0.25, end=25, time=10)
#STEPS: ath = 0.25  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   5.16 B=   5.16 C=   5.16
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   22.50       monho=   44.99          om=  300.00 
#ANGLES:        s2th=  -79.12         ath=   22.50      detang=   45.00 
#ANGLES:         sgU=    0.00         sgL=   -0.00       mvfoc=  612.00 
#ANGLES:        mtrX=   -0.00        mtrY=   -0.99         mgU=    0.10 
#ANGLES:         mgL=    0.20         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    8.83 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=   -0.01        strY=    0.00       antrX=   -0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2200.00      sadist=  926.60     detdist=  670.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.37       monho=    0.28          om=    0.00 
#ZEROS:        s2th=    0.07         ath=   -0.43      detang=   -0.38 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      ath        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     20.00          9          0    77569.0       10.0     115225      0.000      0.000
     20.25         19          1    76657.0       10.0     115226      0.000      0.000
     20.50         10          3    77147.0       10.0     115227      0.000      0.000
     20.75         15          2    76378.0       10.0     115228      0.000      0.000
     21.00         12          1    77190.0       10.0     115229      0.000      0.000
     21.25         12          5    77664.0       10.0     115230      0.000      0.000
     21.50          9          4    76751.0       10.0     115231      0.000      0.000
     21.75         10          4    77259.0       10.0     115232      0.000      0.000
     22.00         28         16    77492.0       10.0     115233      0.000      0.000
     22.25         40         30    77172.0       10.0     115234      0.000      0.000
     22.50         50         38    77807.0       10.0     115235      0.000      0.000
     22.75         71         58    76804.0       10.0     115236      0.001      0.000
     23.00         53         37    76976.0       10.0     115237      0.000      0.000
     23.25         33         25    77275.0       10.0     115238      0.000      0.000
     23.50         14          9    77468.0       10.0     115239      0.000      0.000
     23.75         18         11    76900.0       10.0     115240      0.000      0.000
     24.00         12          3    77179.0       10.0     115241      0.000      0.000
     24.25         12          2    76946.0       10.0     115242      0.000      0.000
     24.50         13          1    76628.0       10.0     115243      0.000      0.000
     24.75         11          0    77207.0       10.0     115244      0.000      0.000
     25.00         15          2    77664.0       10.0     115245      0.000      0.000
