#CNTAS Song Thu Oct 23 15:14:20 2014 
#USER: Song 
#DATE: Thu Oct 23 15:14:20 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=detang, amplitude=2, step=0.2, time=20)
#STEPS: detang = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   5.16 B=   5.16 C=   5.16
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   22.50       monho=   44.99          om=  300.00 
#ANGLES:        s2th=  -79.12         ath=   22.72      detang=   45.00 
#ANGLES:         sgU=    0.00         sgL=   -0.00       mvfoc=  612.00 
#ANGLES:        mtrX=   -0.00        mtrY=   -0.99         mgU=    0.10 
#ANGLES:         mgL=    0.20         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    8.83 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=   -0.01        strY=    0.00       antrX=   -0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2200.00      sadist=  926.60     detdist=  670.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.37       monho=    0.28          om=    0.00 
#ZEROS:        s2th=    0.07         ath=   -0.43      detang=   -0.38 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#   detang        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     43.00         38          8   155107.0       20.0     115247      0.000      0.000
     43.20         24          4   154788.0       20.0     115248      0.000      0.000
     43.40         26          8   153650.0       20.0     115249      0.000      0.000
     43.60         28          5   154440.0       20.0     115250      0.000      0.000
     43.80         25         11   154666.0       20.0     115252      0.000      0.000
     44.00         53         32   156279.0       20.0     115253      0.000      0.000
     44.20         59         35   155312.0       20.0     115254      0.000      0.000
     44.40         92         61   153105.0       20.0     115256      0.000      0.000
     44.60        100         82   154894.0       20.0     115257      0.001      0.000
     44.80        136        106   154869.0       20.0     115258      0.001      0.000
     45.00        129         92   154877.0       20.0     115260      0.001      0.000
     45.20        120         95   153587.0       20.0     115261      0.001      0.000
     45.40         81         62   154219.0       20.0     115262      0.000      0.000
     45.60         82         60   153769.0       20.0     115264      0.000      0.000
     45.80         82         58   154296.0       20.0     115265      0.000      0.000
     46.00         40         25   154763.0       20.0     115267      0.000      0.000
     46.20         26         11   153727.0       20.0     115269      0.000      0.000
     46.40         24          4   155770.0       20.0     115271      0.000      0.000
     46.60         31         10   154027.0       20.0     115273      0.000      0.000
     46.80         18          5   154554.0       20.0     115275      0.000      0.000
     47.00         19          9   153906.0       20.0     115277      0.000      0.000
