#CNTAS Song Thu Oct 23 16:55:57 2014 
#USER: Song 
#DATE: Thu Oct 23 16:55:57 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=om, amplitude=5.1, step=0.3, time=5)
#STEPS: om = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   5.16 B=   5.16 C=   5.16
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   22.50       monho=   44.99          om=  237.00 
#ANGLES:        s2th=  -66.30         ath=   22.50      detang=   45.00 
#ANGLES:         sgU=    0.00         sgL=   -0.00       mvfoc=  612.00 
#ANGLES:        mtrX=   -0.00        mtrY=   -0.99         mgU=    0.10 
#ANGLES:         mgL=    0.20         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    8.83 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=   -0.01        strY=    0.00       antrX=   -0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2200.00      sadist=  926.60     detdist=  670.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.37       monho=    0.28          om=    0.00 
#ZEROS:        s2th=    0.07         ath=   -0.66      detang=   -0.40 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    231.90         66         59    24726.0        5.0     115279      0.002      0.000
    232.20         65         48    24612.0        5.0     115280      0.002      0.000
    232.50         88         78    24709.0        5.0     115281      0.003      0.000
    232.80         86         78    24427.0        5.0     115282      0.003      0.000
    233.10        105         93    24503.0        5.0     115283      0.004      0.000
    233.40        121        107    24613.0        5.0     115284      0.004      0.000
    233.70        114        102    24389.0        5.0     115285      0.004      0.000
    234.00        179        160    24544.0      5.002     115286      0.007      0.001
    234.30        235        203    24542.0        5.0     115287      0.008      0.001
    234.60        299        273    24610.0        5.0     115288      0.011      0.001
    234.90        309        276    24857.0        5.0     115289      0.011      0.001
    235.20        399        356    24848.0        5.0     115290      0.014      0.001
    235.50        472        445    24681.0        5.0     115291      0.018      0.001
    235.80        585        552    24529.0        5.0     115292      0.023      0.001
    236.10        824        786    24613.0        5.0     115293      0.032      0.001
    236.40       1051       1008    24722.0        5.0     115294      0.041      0.001
    236.70       1571       1494    24583.0        5.0     115295      0.061      0.002
    237.00       3381       3207    24485.0        5.0     115296      0.131      0.002
    237.30       9925       9549    24266.0        5.0     115297      0.394      0.005
    237.60      23923      23136    24598.0        5.0     115298      0.941      0.009
    237.90      32906      31947    24519.0        5.0     115299      1.303      0.011
    238.20      28593      27798    24813.0        5.0     115300      1.120      0.010
    238.50       5251       5049    24747.0        5.0     115301      0.204      0.003
    238.80       1519       1412    24751.0        5.0     115302      0.057      0.002
    239.10        933        886    24791.0        5.0     115303      0.036      0.001
    239.40        743        703    24543.0        5.0     115304      0.029      0.001
    239.70        510        472    24883.0        5.0     115305      0.019      0.001
    240.00        416        380    24868.0        5.0     115306      0.015      0.001
    240.30        337        323    24581.0        5.0     115307      0.013      0.001
    240.60        262        245    24732.0        5.0     115308      0.010      0.001
    240.90        225        218    24449.0        5.0     115309      0.009      0.001
    241.20        198        186    24556.0        5.0     115310      0.008      0.001
    241.50        142        135    24229.0        5.0     115311      0.006      0.000
    241.80        146        141    24542.0        5.0     115312      0.006      0.000
    242.10        146        143    24528.0        5.0     115313      0.006      0.000
