#CNTAS Song Thu Oct 23 18:03:45 2014 
#USER: Song 
#DATE: Thu Oct 23 18:03:45 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=sgL, amplitude=5, step=0.5, time=1)
#STEPS: sgL = 0.5  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   5.16 B=   5.16 C=   5.16
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   22.50       monho=   44.99          om=  286.76 
#ANGLES:        s2th=  -78.33         ath=   22.50      detang=   45.00 
#ANGLES:         sgU=    0.12         sgL=   -0.00       mvfoc=  613.00 
#ANGLES:        mtrX=   -0.00        mtrY=   -0.99         mgU=    0.10 
#ANGLES:         mgL=    0.20         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    8.83 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=   -0.01        strY=    0.00       antrX=   -0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2200.00      sadist=  926.60     detdist=  670.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.37       monho=    0.28          om=    0.00 
#ZEROS:        s2th=    0.07         ath=   -0.66      detang=   -0.40 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      sgL        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -5.00         28          5     4966.0        1.0     115461      0.001      0.000
     -4.50         40          7     5023.0        1.0     115462      0.001      0.001
     -4.00         79          4     5108.0        1.0     115463      0.001      0.000
     -3.50        263         25     4888.0        1.0     115464      0.005      0.001
     -3.00        879         37     4900.0        1.0     115465      0.008      0.001
     -2.50       2545         80     4985.0        1.0     115466      0.016      0.002
     -2.00       4627        208     4826.0        1.0     115467      0.043      0.003
     -1.50       6234        678     5001.0        1.0     115468      0.136      0.006
     -1.00       6639       1928     4920.0        1.0     115469      0.392      0.011
     -0.50       6701       3888     5057.0        1.0     115470      0.769      0.016
     -0.00       6565       5239     4984.0        1.0     115471      1.051      0.021
      0.50       6235       5501     4973.0        1.0     115472      1.106      0.022
      1.00       5696       4866     4787.0        1.0     115473      1.017      0.021
      1.50       6280       4085     5002.0        1.0     115474      0.817      0.017
      2.00       6341       2294     4975.0        1.0     115475      0.461      0.012
      2.50       6374        976     4900.0        1.0     115476      0.199      0.007
      3.00       5618        338     4933.0        1.0     115477      0.069      0.004
      3.50       4241        161     5015.0        1.0     115478      0.032      0.003
      4.00       2406        100     4912.0        1.0     115479      0.020      0.002
      4.50        953         60     4911.0        1.0     115480      0.012      0.002
      5.00        381         49     4873.0        1.0     115481      0.010      0.001
