#CNTAS Song Thu Oct 23 18:44:16 2014 
#USER: Song 
#DATE: Thu Oct 23 18:44:16 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s1X, start=32, step=1, end=10, time=1)
#STEPS: s1X = 1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   5.16 B=   5.16 C=   5.16
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   22.50       monho=   44.99          om=  286.70 
#ANGLES:        s2th=  -78.34         ath=   22.50      detang=   45.00 
#ANGLES:         sgU=    0.12         sgL=    0.53       mvfoc= 1090.00 
#ANGLES:        mtrX=   -0.00        mtrY=   -0.99         mgU=    0.10 
#ANGLES:         mgL=    0.20         s1X=   32.00         s1Y=   32.00 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    8.83 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=   -0.01        strY=    0.00       antrX=   -0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2200.00      sadist=  926.60     detdist=  670.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.37       monho=    0.28          om=    0.00 
#ZEROS:        s2th=    0.07         ath=   -0.66      detang=   -0.40 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      s1X        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     32.00      19838       9776     5264.0        1.0     115531      1.857      0.032
     31.00      19566       9615     5248.0        1.0     115532      1.832      0.031
     30.00      19705       9570     5131.0        1.0     115533      1.865      0.032
     29.00      19060       9424     5260.0        1.0     115534      1.792      0.031
     28.00      19036       9455     5290.0        1.0     115535      1.787      0.031
     27.00      19362       9540     5316.0        1.0     115536      1.795      0.031
     26.00      20315      10089     5327.0        1.0     115537      1.894      0.032
     25.00      19860       9881     5174.0        1.0     115538      1.910      0.033
     24.00      19687       9701     5181.0        1.0     115539      1.872      0.032
     23.00      19805       9807     5264.0        1.0     115540      1.863      0.032
     22.00      20117       9949     5274.0        1.0     115541      1.886      0.032
     21.00      19932       9902     5240.0        1.0     115542      1.890      0.032
     20.00      19728       9780     5186.0        1.0     115543      1.886      0.032
     19.00      19588       9611     5164.0        1.0     115544      1.861      0.032
     18.00      20016       9740     5289.0        1.0     115545      1.842      0.031
     17.00      20080       9904     5279.0        1.0     115546      1.876      0.032
     16.00      19763       9754     5349.0        1.0     115547      1.824      0.031
     15.00      20418      10115     5343.0        1.0     115548      1.893      0.032
     14.00      19585       9706     5462.0        1.0     115549      1.777      0.030
     13.00      19587       9672     5301.0        1.0     115550      1.825      0.031
     12.00      18910       9263     5276.0        1.0     115551      1.756      0.030
     11.00      17553       8587     5173.0        1.0     115552      1.660      0.029
     10.00      16363       8053     5337.0        1.0     115553      1.509      0.027
