#CNTAS Song Thu Oct 23 18:48:59 2014 
#USER: Song 
#DATE: Thu Oct 23 18:48:59 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s1U, start=142, step=5, end=50, time=2)
#STEPS: s1U = 5  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   5.16 B=   5.16 C=   5.16
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   22.50       monho=   44.99          om=  286.70 
#ANGLES:        s2th=  -78.34         ath=   22.50      detang=   45.00 
#ANGLES:         sgU=    0.12         sgL=    0.53       mvfoc= 1090.00 
#ANGLES:        mtrX=   -0.00        mtrY=   -0.99         mgU=    0.10 
#ANGLES:         mgL=    0.20         s1X=   32.00         s1Y=   32.00 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    8.83 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=   -0.01        strY=    0.00       antrX=   -0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2200.00      sadist=  926.60     detdist=  670.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.37       monho=    0.28          om=    0.00 
#ZEROS:        s2th=    0.07         ath=   -0.66      detang=   -0.40 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      s1U        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    142.00      39993      19819    10818.0        2.0     115555      1.832      0.022
    137.00      40004      19731    10657.0        2.0     115556      1.851      0.022
    132.00      40738      20035    10676.0        2.0     115557      1.877      0.022
    127.00      40449      19761    10559.0        2.0     115558      1.871      0.023
    122.00      40506      19952    10622.0        2.0     115559      1.878      0.023
    117.00      40473      19905    10770.0        2.0     115560      1.848      0.022
    112.00      39094      19257    10755.0        2.0     115561      1.791      0.022
    107.00      39706      19666    10663.0        2.0     115562      1.844      0.022
    102.00      39550      19433    10413.0        2.0     115563      1.866      0.023
     97.00      40294      19876    10632.0        2.0     115564      1.869      0.022
     92.00      39990      19883    10695.0        2.0     115565      1.859      0.022
     87.00      40319      19833    10638.0        2.0     115566      1.864      0.022
     82.00      41032      20204    10641.0        2.0     115567      1.899      0.023
     77.00      40759      19998    10847.0        2.0     115568      1.844      0.022
     72.00      40887      20192    10866.0        2.0     115569      1.858      0.022
     67.00      40669      20079    10706.0        2.0     115570      1.875      0.022
     62.00      40725      20143    10611.0        2.0     115571      1.898      0.023
     57.00      39873      19875    10741.0        2.0     115572      1.850      0.022
     52.00      38251      19467    10758.0        2.0     115573      1.810      0.022
