#CNTAS Song Fri Oct 24 17:04:55 2014 
#USER: Song 
#DATE: Fri Oct 24 17:04:55 2014 
#TITLE: FAT Test measurement 
#CMD: schkl(start=[1.95, 1.95, 0, -5], step=[0, 0, 0, -0.25], np=37, time=90)
#STEPS: EN = -0.25  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   19.15       monho=   38.29          om=  183.76 
#ANGLES:        s2th= -102.81         ath=   19.76      detang=   39.53 
#ANGLES:         sgU=    0.11         sgL=    0.53       mvfoc= 1200.00 
#ANGLES:        mtrX=   -0.00        mtrY=   -0.99         mgU=    0.10 
#ANGLES:         mgL=    0.20         s1X=   16.00         s1Y=   16.00 
#ANGLES:         s1L=   60.00         s1U=   60.00         s2X=    8.83 
#ANGLES:         s2Y=    7.88         s2L=   26.00         s2U=   28.03 
#ANGLES:        strX=   -0.00        strY=    0.00       antrX=   -0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2200.00      sadist=  926.60     detdist=  670.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.37       monho=    0.28          om=    0.00 
#ZEROS:        s2th=    0.07         ath=   -0.66      detang=   -0.40 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#  H       K       L       EN      MON     TIME     CNT     ROICNT  SEQ.NUM   A1     A2     A3     A4     A5     A6     SGL    SGU
 1.9500  1.9500  0.0000  -5.00 260012.0   90.00       25        8   116704  19.15  38.29 195.16 -88.95  16.75  33.49   0.53   0.11
 1.9500  1.9500  0.0000  -5.25 261644.0   90.00       31        4   116706  19.15  38.29 195.54 -88.58  16.65  33.30   0.53   0.11
 1.9500  1.9500  0.0000  -5.50 260093.0   90.00       26        5   116708  19.15  38.29 195.91 -88.23  16.55  33.10   0.53   0.11
 1.9500  1.9500  0.0000  -5.75 260568.0   90.00       29        8   116710  19.15  38.29 196.27 -87.87  16.46  32.92   0.53   0.11
 1.9500  1.9500  0.0000  -6.00 260165.0   90.00       25        7   116712  19.15  38.29 196.64 -87.52  16.36  32.73   0.53   0.11
 1.9500  1.9500  0.0000  -6.25 260393.0   90.00       19        7   116714  19.15  38.29 197.00 -87.17  16.28  32.55   0.53   0.11
 1.9500  1.9500  0.0000  -6.50 259012.0   90.00       24        2   116716  19.15  38.29 197.36 -86.82  16.19  32.37   0.53   0.11
 1.9500  1.9500  0.0000  -6.75 259000.0   90.00       26       10   116718  19.15  38.29 197.72 -86.48  16.10  32.19   0.53   0.11
 1.9500  1.9500  0.0000  -7.00 260913.0   90.00       29        4   116720  19.15  38.29 198.08 -86.14  16.01  32.02   0.53   0.11
 1.9500  1.9500  0.0000  -7.25 260392.0   90.00       31        8   116722  19.15  38.29 198.44 -85.81  15.92  31.85   0.53   0.11
 1.9500  1.9500  0.0000  -7.50 260618.0   90.00       32        2   116724  19.15  38.29 198.79 -85.47  15.84  31.68   0.53   0.11
 1.9500  1.9500  0.0000  -7.75 260288.0   90.00       21        0   116726  19.15  38.29 199.14 -85.15  15.76  31.52   0.53   0.11
 1.9500  1.9500  0.0000  -8.00 261415.0   90.00       16        5   116728  19.15  38.29 199.50 -84.82  15.68  31.35   0.53   0.11
 1.9500  1.9500  0.0000  -8.25 261171.0   90.00       22        1   116730  19.15  38.29 199.85 -84.50  15.60  31.19   0.53   0.11
 1.9500  1.9500  0.0000  -8.50 260319.0   90.00       18        2   116732  19.15  38.29 200.19 -84.18  15.52  31.04   0.53   0.11
 1.9500  1.9500  0.0000  -8.75 258163.0   90.00       14        3   116734  19.15  38.29 200.54 -83.86  15.44  30.88   0.53   0.11
 1.9500  1.9500  0.0000  -9.00 260267.0   90.00       19        5   116736  19.15  38.29 200.89 -83.55  15.36  30.73   0.53   0.11
 1.9500  1.9500  0.0000  -9.25 259642.0   90.00       32        5   116738  19.15  38.29 201.23 -83.24  15.29  30.58   0.53   0.11
 1.9500  1.9500  0.0000  -9.50 260561.0   90.00       32        9   116740  19.15  38.29 201.57 -82.92  15.21  30.43   0.53   0.11
 1.9500  1.9500  0.0000  -9.75 262220.0   90.00       29        7   116742  19.15  38.29 201.91 -82.62  15.14  30.28   0.53   0.11
 1.9500  1.9500  0.0000 -10.00 259855.0   90.00       21        6   116744  19.15  38.29 202.25 -82.32  15.07  30.14   0.53   0.11
 1.9500  1.9500  0.0000 -10.25 261596.0   90.00       22        4   116746  19.15  38.29 202.59 -82.01  15.00  29.99   0.53   0.11
 1.9500  1.9500  0.0000 -10.50 259689.0   90.00       20        2   116748  19.15  38.29 202.93 -81.71  14.93  29.85   0.53   0.11
 1.9500  1.9500  0.0000 -10.75 260487.0   90.00       27        5   116750  19.15  38.29 203.26 -81.41  14.86  29.71   0.53   0.11
 1.9500  1.9500  0.0000 -11.00 259519.0   90.00       36        8   116752  19.15  38.29 203.60 -81.12  14.79  29.58   0.53   0.11
 1.9500  1.9500  0.0000 -11.25 260770.0   90.00       25        4   116754  19.15  38.29 203.93 -80.83  14.72  29.45   0.53   0.11
 1.9500  1.9500  0.0000 -11.50 259838.0   90.00       21        5   116756  19.15  38.29 204.26 -80.54  14.66  29.31   0.53   0.11
 1.9500  1.9500  0.0000 -11.75 259462.0   90.00       29        5   116758  19.15  38.29 204.59 -80.25  14.59  29.18   0.53   0.11
 1.9500  1.9500  0.0000 -12.00 260346.0   90.00       22        4   116760  19.15  38.29 204.92 -79.96  14.53  29.05   0.53   0.11
 1.9500  1.9500  0.0000 -12.25 260642.0   90.00       22        1   116762  19.15  38.29 205.25 -79.68  14.46  28.92   0.53   0.11
 1.9500  1.9500  0.0000 -12.50 259989.0   90.00       36        9   116764  19.15  38.29 205.58 -79.40  14.40  28.80   0.53   0.11
 1.9500  1.9500  0.0000 -12.75 261607.0   90.00       32        6   116766  19.15  38.29 205.91 -79.12  14.34  28.67   0.53   0.11
 1.9500  1.9500  0.0000 -13.00 259697.0   90.00       21        6   116768  19.15  38.29 206.23 -78.84  14.28  28.55   0.53   0.11
 1.9500  1.9500  0.0000 -13.25 259789.0   90.00       29       10   116770  19.15  38.29 206.55 -78.56  14.22  28.43   0.53   0.11
 1.9500  1.9500  0.0000 -13.50 260471.0   90.00       28       11   116772  19.15  38.29 206.88 -78.28  14.16  28.31   0.53   0.11
 1.9500  1.9500  0.0000 -13.75 260103.0   90.00       29        5   116774  19.15  38.29 207.20 -78.01  14.09  28.19   0.53   0.11
 1.9500  1.9500  0.0000 -14.00 262010.0   90.00       20        6   116776  19.15  38.29 207.52 -77.74  14.04  28.07   0.53   0.11
