#CNTAS Song Fri Oct 24 18:33:45 2014 
#USER: Song 
#DATE: Fri Oct 24 18:33:45 2014 
#TITLE: FAT Test measurement 
#CMD: schkl(start=[2.05, 2.05, 0, -5], step=[0, 0, 0, -0.25], np=37, time=90)
#STEPS: EN = -0.25  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   19.15       monho=   38.29          om=  207.52 
#ANGLES:        s2th=  -77.74         ath=   14.04      detang=   28.07 
#ANGLES:         sgU=    0.11         sgL=    0.53       mvfoc= 1200.00 
#ANGLES:        mtrX=   -0.00        mtrY=   -0.99         mgU=    0.10 
#ANGLES:         mgL=    0.20         s1X=   16.00         s1Y=   16.00 
#ANGLES:         s1L=   60.00         s1U=   60.00         s2X=    8.83 
#ANGLES:         s2Y=    7.88         s2L=   26.00         s2U=   28.03 
#ANGLES:        strX=   -0.00        strY=    0.00       antrX=   -0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2200.00      sadist=  926.60     detdist=  670.00 
#ANGLES:     anShRot=   13.50    anShLift=   19.06 
#ZEROS:       monok=   -0.37       monho=    0.28          om=    0.00 
#ZEROS:        s2th=    0.07         ath=   -0.66      detang=   -0.40 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#  H       K       L       EN      MON     TIME     CNT     ROICNT  SEQ.NUM   A1     A2     A3     A4     A5     A6     SGL    SGU
 2.0500  2.0500  0.0000  -5.00 260785.0   90.00       30        7   116778  19.15  38.29 191.81 -94.92  16.75  33.49   0.53   0.11
 2.0500  2.0500  0.0000  -5.25 259251.0   90.00       41       10   116780  19.15  38.29 192.18 -94.53  16.65  33.30   0.53   0.11
 2.0500  2.0500  0.0000  -5.50 260338.0   90.00       32        6   116782  19.15  38.29 192.55 -94.13  16.55  33.10   0.53   0.11
 2.0500  2.0500  0.0000  -5.75 259615.0   90.00       37        2   116784  19.15  38.29 192.92 -93.74  16.46  32.92   0.53   0.11
 2.0500  2.0500  0.0000  -6.00 259141.0   90.00       34        6   116786  19.15  38.29 193.28 -93.36  16.36  32.73   0.53   0.11
 2.0500  2.0500  0.0000  -6.25 260989.0   90.00       28        6   116788  19.15  38.29 193.65 -92.97  16.28  32.55   0.53   0.11
 2.0500  2.0500  0.0000  -6.50 259585.0   90.00       32        6   116790  19.15  38.29 194.01 -92.60  16.19  32.37   0.53   0.11
 2.0500  2.0500  0.0000  -6.75 259983.0   90.00       30        3   116792  19.15  38.29 194.37 -92.23  16.10  32.19   0.53   0.11
 2.0500  2.0500  0.0000  -7.00 262454.0   90.00       22        5   116794  19.15  38.29 194.72 -91.86  16.01  32.02   0.53   0.11
 2.0500  2.0500  0.0000  -7.25 260015.0   90.00       27        5   116796  19.15  38.29 195.08 -91.49  15.92  31.85   0.53   0.11
 2.0500  2.0500  0.0000  -7.50 259058.0   90.00       29        9   116798  19.15  38.29 195.43 -91.13  15.84  31.68   0.53   0.11
 2.0500  2.0500  0.0000  -7.75 260219.0   90.00       18        1   116800  19.15  38.29 195.78 -90.78  15.76  31.52   0.53   0.11
 2.0500  2.0500  0.0000  -8.00 260802.0   90.00       39       10   116802  19.15  38.29 196.13 -90.42  15.68  31.35   0.53   0.11
 2.0500  2.0500  0.0000  -8.25 259431.0   90.00       19        7   116804  19.15  38.29 196.48 -90.07  15.60  31.19   0.53   0.11
 2.0500  2.0500  0.0000  -8.50 259587.0   90.00       21        2   116806  19.15  38.29 196.83 -89.73  15.52  31.04   0.53   0.11
 2.0500  2.0500  0.0000  -8.75 260000.0   90.00       35        8   116808  19.15  38.29 197.17 -89.39  15.44  30.88   0.53   0.11
 2.0500  2.0500  0.0000  -9.00 260594.0   90.00       31        5   116810  19.15  38.29 197.52 -89.04  15.36  30.73   0.53   0.11
 2.0500  2.0500  0.0000  -9.25 260329.0   90.00       34       11   116812  19.15  38.29 197.86 -88.71  15.29  30.58   0.53   0.11
 2.0500  2.0500  0.0000  -9.50 259938.0   90.00       29        7   116814  19.15  38.29 198.20 -88.37  15.21  30.43   0.53   0.11
 2.0500  2.0500  0.0000  -9.75 259287.0   90.00       32        7   116816  19.15  38.29 198.54 -88.05  15.14  30.28   0.53   0.11
 2.0500  2.0500  0.0000 -10.00 261006.0   90.00       31        2   116818  19.15  38.29 198.87 -87.72  15.07  30.14   0.53   0.11
 2.0500  2.0500  0.0000 -10.25 258281.0   90.00       27        8   116820  19.15  38.29 199.21 -87.40  15.00  29.99   0.53   0.11
 2.0500  2.0500  0.0000 -10.50 258827.0   90.00       27        9   116822  19.15  38.29 199.54 -87.07  14.93  29.85   0.53   0.11
 2.0500  2.0500  0.0000 -10.75 260090.0   90.00       38        7   116824  19.15  38.29 199.88 -86.75  14.86  29.71   0.53   0.11
 2.0500  2.0500  0.0000 -11.00 261216.0   90.00       32       10   116826  19.15  38.29 200.21 -86.44  14.79  29.58   0.53   0.11
