#CNTAS Song Fri Oct 24 22:20:36 2014 
#USER: Song 
#DATE: Fri Oct 24 22:20:36 2014 
#TITLE: FAT Test measurement 
#CMD: schkl(start=[2, 2, -0.1, -6], step=[0, 0, 0, 0.25], np=49, time=90)
#STEPS: EN = 0.25  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   19.15       monho=   38.29          om=  175.57 
#ANGLES:        s2th= -117.00         ath=   24.10      detang=   48.21 
#ANGLES:         sgU=    0.11         sgL=    0.53       mvfoc= 1200.00 
#ANGLES:        mtrX=   -0.00        mtrY=   -0.99         mgU=    0.10 
#ANGLES:         mgL=    0.20         s1X=   16.00         s1Y=   16.00 
#ANGLES:         s1L=   60.00         s1U=   60.00         s2X=    8.83 
#ANGLES:         s2Y=    7.88         s2L=   26.00         s2U=   28.03 
#ANGLES:        strX=   -0.00        strY=    0.00       antrX=   -0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2200.00      sadist=  926.60     detdist=  670.00 
#ANGLES:     anShRot=   13.50    anShLift=   19.06 
#ZEROS:       monok=   -0.37       monho=    0.28          om=    0.00 
#ZEROS:        s2th=    0.07         ath=   -0.66      detang=   -0.40 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#  H       K       L       EN      MON     TIME     CNT     ROICNT  SEQ.NUM   A1     A2     A3     A4     A5     A6     SGL    SGU
 2.0000  2.0000 -0.1000  -6.00 259741.0   90.00       19        9   116950  19.15  38.29 192.91 -90.47  16.36  32.73   0.53   0.11
 2.0000  2.0000 -0.1000  -5.75 260912.0   90.00       14        5   116952  19.15  38.29 192.54 -90.84  16.46  32.92   0.53   0.11
 2.0000  2.0000 -0.1000  -5.50 259081.0   90.00       25        6   116954  19.15  38.29 192.18 -91.21  16.55  33.10   0.53   0.11
 2.0000  2.0000 -0.1000  -5.25 258162.0   90.00       28       11   116956  19.15  38.29 191.81 -91.59  16.65  33.30   0.53   0.11
 2.0000  2.0000 -0.1000  -5.00 259772.0   90.00       21        1   116958  19.15  38.29 191.44 -91.97  16.75  33.49   0.53   0.11
 2.0000  2.0000 -0.1000  -4.75 260376.0   90.00       26        5   116960  19.15  38.29 191.06 -92.36  16.84  33.69   0.53   0.11
 2.0000  2.0000 -0.1000  -4.50 259693.0   90.00       40       11   116962  19.15  38.29 190.69 -92.75  16.94  33.89   0.53   0.11
 2.0000  2.0000 -0.1000  -4.25 259399.0   90.00       22        7   116964  19.15  38.29 190.31 -93.15  17.05  34.10   0.53   0.11
 2.0000  2.0000 -0.1000  -4.00 259697.0   90.00       32       10   116966  19.15  38.29 189.93 -93.54  17.15  34.31   0.53   0.11
 2.0000  2.0000 -0.1000  -3.75 258987.0   90.00       34        5   116968  19.15  38.29 189.54 -93.95  17.26  34.52   0.53   0.11
 2.0000  2.0000 -0.1000  -3.50 260230.0   90.00       31        9   116970  19.15  38.29 189.16 -94.36  17.37  34.74   0.53   0.11
 2.0000  2.0000 -0.1000  -3.25 261067.0   90.00       23        6   116972  19.15  38.29 188.77 -94.78  17.48  34.96   0.53   0.11
 2.0000  2.0000 -0.1000  -3.00 260357.0   90.00       22        3   116974  19.15  38.29 188.38 -95.20  17.59  35.19   0.53   0.11
 2.0000  2.0000 -0.1000  -2.75  14942.0   90.00        6        0   116976  19.15  38.29 187.99 -95.63  17.71  35.42   0.53   0.11
 2.0000  2.0000 -0.1000  -2.50    129.0   90.00        5        0   116978  19.15  38.29 187.59 -96.06  17.83  35.65   0.53   0.11
 2.0000  2.0000 -0.1000  -2.25     31.0   90.00        5        2   116980  19.15  38.29 187.19 -96.50  17.94  35.89   0.53   0.11
 2.0000  2.0000 -0.1000  -2.00     22.0   90.00        2        1   116982  19.15  38.29 186.79 -96.95  18.07  36.14   0.53   0.11
 2.0000  2.0000 -0.1000  -1.75     14.0   90.00        4        0   116984  19.15  38.29 186.38 -97.40  18.19  36.38   0.53   0.11
 2.0000  2.0000 -0.1000  -1.50     18.0   90.00        5        1   116986  19.15  38.29 185.97 -97.86  18.32  36.64   0.53   0.11
 2.0000  2.0000 -0.1000  -1.25     13.0   90.00        3        0   116988  19.15  38.29 185.56 -98.33  18.45  36.90   0.53   0.11
 2.0000  2.0000 -0.1000  -1.00     13.0   90.00        7        0   116990  19.15  38.29 185.15 -98.81  18.58  37.17   0.53   0.11
 2.0000  2.0000 -0.1000  -0.75      9.0   90.00        3        0   116992  19.15  38.29 184.73 -99.28  18.72  37.44   0.53   0.11
 2.0000  2.0000 -0.1000  -0.50     10.0   90.00        5        1   116994  19.15  38.29 184.31 -99.77  18.86  37.72   0.53   0.11
 2.0000  2.0000 -0.1000  -0.25     16.0   90.00        3        0   116996  19.15  38.29 183.88 -100.27  19.00  38.00   0.53   0.11
 2.0000  2.0000 -0.1000   0.00      7.0   90.00        2        0   116998  19.15  38.29 183.45 -100.78  19.14  38.29   0.53   0.11
 2.0000  2.0000 -0.1000   0.25      6.0   90.00        7        1   117000  19.15  38.29 183.02 -101.30  19.30  38.59   0.53   0.11
 2.0000  2.0000 -0.1000   0.50      7.0   90.00        3        0   117002  19.15  38.29 182.58 -101.82  19.45  38.89   0.53   0.11
 2.0000  2.0000 -0.1000   0.75      9.0   90.00        4        0   117004  19.15  38.29 182.14 -102.36  19.60  39.21   0.53   0.11
 2.0000  2.0000 -0.1000   1.00     13.0   90.00        7        1   117006  19.15  38.29 181.69 -102.91  19.76  39.53   0.53   0.11
 2.0000  2.0000 -0.1000   1.25     19.0   90.00        6        1   117008  19.15  38.29 181.25 -103.46  19.93  39.85   0.53   0.11
 2.0000  2.0000 -0.1000   1.50     13.0   90.00        3        2   117010  19.15  38.29 180.79 -104.03  20.09  40.19   0.53   0.11
 2.0000  2.0000 -0.1000   1.75     11.0   90.00        4        1   117012  19.15  38.29 180.33 -104.62  20.27  40.53   0.53   0.11
 2.0000  2.0000 -0.1000   2.00      8.0   90.00        9        2   117014  19.15  38.29 179.87 -105.20  20.44  40.89   0.53   0.11
 2.0000  2.0000 -0.1000   2.25      7.0   90.00        2        0   117016  19.15  38.29 179.40 -105.81  20.62  41.25   0.53   0.11
 2.0000  2.0000 -0.1000   2.50     11.0   90.00        2        1   117018  19.15  38.29 178.92 -106.42  20.81  41.62   0.53   0.11
 2.0000  2.0000 -0.1000   2.75      8.0   90.00        2        0   117020  19.15  38.29 178.44 -107.06  21.00  42.01   0.53   0.11
 2.0000  2.0000 -0.1000   3.00      4.0   90.00        0        0   117022  19.15  38.29 177.95 -107.70  21.20  42.40   0.53   0.11
